Row.names	gene.symbol	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]	3650.9909392028	0.192669350858011	0.0780822102445999	2.46751917311839	0.0136052935051536	0.0603199844432356
ENSMUSG00000000028	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]	905.193931891026	-0.135748006319303	0.106625697120539	-1.27312655377851	0.202973137675172	0.397400151466423
ENSMUSG00000000031	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]	171.365468135943	-0.240861884517373	0.186687933298568	-1.29018453555948	0.19698659414984	0.390769729067924
ENSMUSG00000000037	Scml2	sex comb on midleg-like 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1340042]	0.680911767344286	1.73991683571677	2.8916125604608	0.601711605319456	0.547366123577892	NA
ENSMUSG00000000049	Apoh	apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]	7.01970434192825	0.63752625956661	0.836418778116285	0.762209405439696	0.445935033482189	NA
ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]	634.364244036268	-0.277455855413	0.114436151186674	-2.42454724783955	0.0153274886965312	0.0657530684476525
ENSMUSG00000000058	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]	1558.69739890063	0.0923657063659354	0.0898662034611728	1.02781360298416	0.304037516241503	0.515731483284684
ENSMUSG00000000078	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]	11887.84972328	0.504427330890688	0.0683722755819566	7.37765895016964	1.61096989841291e-13	2.72835651961764e-11
ENSMUSG00000000085	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]	83.9240112638535	-0.536615366491515	0.267040932921661	-2.00948731200298	0.0444854789304451	0.142111476524832
ENSMUSG00000000088	Cox5a	cytochrome c oxidase subunit Va [Source:MGI Symbol;Acc:MGI:88474]	1152.38169372358	0.008847367779677	0.110660562177183	0.0799505045484149	0.936276621535276	0.967677031542602
ENSMUSG00000000093	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]	56.2691920285108	-0.170060311477959	0.306843658334568	-0.554224625012562	0.579425127570964	0.755992938754584
ENSMUSG00000000094	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]	0.423676098080267	-1.81624313465987	3.49436198186455	-0.519763877951404	0.603228158728337	NA
ENSMUSG00000000120	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]	3.9773443844792	-0.0826692756976137	1.14399570708749	-0.0722636240550957	0.942392112782165	NA
ENSMUSG00000000125	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]	0.566528541472378	-0.246775958198011	2.99835921727489	-0.0823036668776123	0.934405238569014	NA
ENSMUSG00000000126	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]	208.195208841394	-0.288880451778708	0.171329895135903	-1.68610651135671	0.0917752860795437	0.235700892681962
ENSMUSG00000000127	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]	526.397220363847	-0.129396482055193	0.117019079840228	-1.10577251360944	0.268824994782826	0.476668894340813
ENSMUSG00000000131	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]	2066.76294027029	-0.166836742989532	0.085094312710991	-1.96060979487743	0.0499245589001722	0.154160565011066
ENSMUSG00000000134	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]	709.435724759574	-0.303804342594733	0.107155219040998	-2.83518008094871	0.00457998609472506	0.0264935248762227
ENSMUSG00000000142	Axin2	axin2 [Source:MGI Symbol;Acc:MGI:1270862]	58.6373460006722	0.249370889886349	0.325401847209047	0.766347493184776	0.443469566190004	0.649023990653014
ENSMUSG00000000148	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]	475.716149879029	-0.202282636376643	0.121250427193916	-1.66830452525443	0.0952552900735827	0.242088996906475
ENSMUSG00000000149	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]	1125.78083819692	-0.202394842740046	0.0999879136617141	-2.02419307822345	0.0429502895024492	0.1385080432989
ENSMUSG00000000154	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]	2.62470576235431	0.0304140669737978	1.36872808981533	0.0222206785994297	0.982271922525283	NA
ENSMUSG00000000159	Igsf5	immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]	3.78867652607403	-1.206669370602	1.21484804971561	-0.99326773491094	0.320579496836767	NA
ENSMUSG00000000167	Pih1d2	PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]	43.2958509051181	0.0491799837725393	0.353870882221549	0.138977198304067	0.889468167289246	0.94372007586575
ENSMUSG00000000168	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]	1236.032672997	0.218161389503683	0.0911236029899862	2.39412602602705	0.0166600233005993	0.0701008709894781
ENSMUSG00000000171	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]	2031.95202951383	-0.109350556048853	0.0889821826118445	-1.22890395401806	0.21910781881175	0.419138302578715
ENSMUSG00000000182	Fgf23	fibroblast growth factor 23 [Source:MGI Symbol;Acc:MGI:1891427]	0.603096760323954	-0.16192598264723	2.94061906068838	-0.0550652700351212	0.956086464642785	NA
ENSMUSG00000000184	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	4232.72861935737	-0.227341270885458	0.0797148015867682	-2.85193297054125	0.0043454262668146	0.0254261650180121
ENSMUSG00000000194	Gpr107	G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]	1949.23087723293	-0.367936626369911	0.0845274730198058	-4.35286437917881	1.34370280096794e-05	0.00026090942603508
ENSMUSG00000000202	Btbd17	BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]	0.215973662741157	-0.799684545080961	4.56209215174643	-0.175288994277512	0.860852559180934	NA
ENSMUSG00000000204	Slfn4	schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010]	124.07500852994	-0.761153781895197	0.219635886934664	-3.46552556833128	0.000529196205577217	0.00500622073763272
ENSMUSG00000000223	Drp2	dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]	29.0027098050554	0.688504044262053	0.421855722709304	1.63208416337283	0.102661757436523	0.254879261629589
ENSMUSG00000000244	Tspan32	tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]	20.7883493926592	0.0534684225479935	0.491793709244554	0.108721241331302	0.913423593577104	0.956809773559708
ENSMUSG00000000248	Clec2g	C-type lectin domain family 2, member g [Source:MGI Symbol;Acc:MGI:1918059]	0.195900833449988	1.56960375280916	4.55528302302354	0.344567778747443	0.730419332744187	NA
ENSMUSG00000000253	Gmpr	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]	144.327678233305	-0.512274613048982	0.204776132049675	-2.5016324310917	0.0123622198076851	0.0559765719773158
ENSMUSG00000000266	Mid2	midline 2 [Source:MGI Symbol;Acc:MGI:1344333]	3.19945846598505	0.377924816284248	1.25473968116973	0.301197787840683	0.763263676597595	NA
ENSMUSG00000000275	Trim25	tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]	2397.85192290892	0.0930950630480779	0.0865050003906959	1.07618129157411	0.281846185041314	0.491435211906796
ENSMUSG00000000276	Dgke	diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]	384.894382946397	0.0606511910327109	0.141271644899314	0.429323174342153	0.667688054198247	0.816057069903446
ENSMUSG00000000278	Scpep1	serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]	3655.68648931002	0.00659153897219425	0.077211699294495	0.0853696918008927	0.931967487616765	0.965458460963285
ENSMUSG00000000282	Mnt	max binding protein [Source:MGI Symbol;Acc:MGI:109150]	1183.16006457597	-0.0150111220807576	0.101394528914028	-0.148046667226842	0.882305938883042	0.939800717919271
ENSMUSG00000000290	Itgb2	integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]	921.434359724314	-0.168631002230196	0.0976664660253881	-1.72660083949757	0.0842393750717089	0.221764883338605
ENSMUSG00000000295	Hddc2	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]	202.663465477609	-0.0604296039583319	0.186983099458127	-0.323182170653154	0.746557282776397	0.866094520614155
